DAUID,plos_density,plos_class
47110021,38.436752669908714,Low
47110022,213.6179271277961,High
47110027,220.98361906623265,High
47110028,242.98724719040652,Very High
47110029,183.76382891482206,High
47110030,214.65032956645527,High
47110031,194.9171409796547,High
47110032,228.47292836525875,High
47110033,187.46884393813963,High
47110035,213.68675255798053,High
47110038,96.7841676570154,Medium
47110039,211.78791982703385,High
47110040,208.06767237981222,High
47110041,114.22810681659672,Medium
47110042,175.80068699149626,High
47110043,214.65426390152706,High
47110044,201.07710875353044,High
47110045,141.24585358414916,Medium
47110046,190.78541225665316,High
47110047,135.18694618596837,Medium
47110048,210.0545010318966,High
47110049,16.85431442591027,Low
47110050,186.16998218851268,High
47110051,114.70413969728239,Medium
47110052,158.93143118326049,Medium
47110053,189.93782687329062,High
47110054,78.45261113890345,Low
47110055,251.55700533905616,Very High
47110056,223.18414544812384,High
47110057,270.07483628323706,Very High
47110058,164.462063048995,High
47110059,217.45288223757484,High
47110060,245.42410791433332,Very High
47110061,231.48450176245328,High
47110062,210.76437539773502,High
47110063,243.18048877727273,Very High
47110064,188.35550474583334,High
47110065,204.2087882866027,High
47110066,205.1092762449936,High
47110067,226.76447239365018,High
47110068,270.77771548507354,Very High
47110069,235.41399959385623,High
47110070,148.760714695001,Medium
47110074,124.85623228666105,Medium
47110075,149.1689734126384,Medium
47110076,215.7093284317835,High
47110077,242.94673369467642,Very High
47110078,264.73377653130314,Very High
47110079,217.01102052530038,High
47110080,241.07984347971905,Very High
47110081,247.84075431769352,Very High
47110082,254.27902634873072,Very High
47110083,199.33982053404912,High
47110084,147.26024911878378,Medium
47110085,179.7870793523532,High
47110086,170.7292099114862,High
47110087,191.7645229710504,High
47110088,166.2077760826087,High
47110089,183.80865450684547,High
47110090,189.22911023282157,High
47110091,125.6180351607501,Medium
47110092,155.55792343405696,Medium
47110093,116.217627952542,Medium
47110094,166.71396446053654,High
47110095,150.5207448663013,Medium
47110096,196.26339388870377,High
47110097,156.81316583957584,Medium
47110098,160.9496632560728,High
47110099,150.75690090334217,Medium
47110100,206.11244439997338,High
47110101,168.2753292885141,High
47110102,187.0520904264975,High
47110103,225.20759536523246,High
47110104,140.43131494264716,Medium
47110105,234.75829580005728,High
47110106,34.14651387119601,Low
47110107,26.28760273575845,Low
47110108,44.82576689229951,Low
47110109,191.3058488315671,High
47110110,181.99911453681565,High
47110111,207.46246609489515,High
47110112,102.30458754355209,Medium
47110113,198.4411394178636,High
47110114,182.8852584338408,High
47110116,183.74504017005083,High
47110123,157.82852781073046,Medium
47110126,220.18429963792076,High
47110127,202.25144258947716,High
47110128,157.7274717658388,Medium
47110129,199.36433381719837,High
47110130,187.062772572509,High
47110131,200.98132276464293,High
47110132,193.87835796034815,High
47110133,214.02497762683092,High
47110134,172.67118681794503,High
47110143,232.23432993659063,High
47110144,143.07786340215924,Medium
47110145,141.09321950031904,Medium
47110146,231.1966684410389,High
47110147,82.82539877404781,Medium
47110148,218.6464798186511,High
47110149,226.1164577806822,High
47110151,171.3851020346134,High
47110152,204.6851990841123,High
47110153,140.28564123730553,Medium
47110154,204.01599194970493,High
47110155,169.93681733251316,High
47110157,89.97743183664927,Medium
47110160,164.03732262595963,High
47110161,156.59351692875578,Medium
47110162,219.11351755932878,High
47110163,217.16789565618674,High
47110164,180.56163531989037,High
47110165,186.19995125017002,High
47110166,181.89648134140995,High
47110167,183.77440361694116,High
47110168,187.12337213894475,High
47110169,141.05129076311192,Medium
47110170,161.00560996955764,High
47110179,151.52438364937055,Medium
47110180,162.55817383617162,High
47110181,195.08440862887122,High
47110182,211.45347257536798,High
47110183,174.50917518327316,High
47110184,217.91999697469495,High
47110185,243.6443178013345,Very High
47110186,214.79975529121953,High
47110187,221.26667053977832,High
47110188,212.446135978542,High
47110189,148.29286072326795,Medium
47110190,94.12911064318195,Medium
47110191,152.3301443006896,Medium
47110193,199.70208019412476,High
47110287,204.04156538249822,High
47110288,204.69647553409962,High
47110290,211.39032356211573,High
47110291,201.28334522906874,High
47110292,205.5859402734117,High
47110293,203.1413340718158,High
47110295,204.34444095685808,High
47110296,24.26461968682322,Low
47110297,169.26052047466888,High
47110299,192.7352692781202,High
47110300,198.87484321942858,High
47110301,223.2129116852385,High
47110302,137.63778659136304,Medium
47110303,205.36295637724072,High
47110304,203.06965336172965,High
47110305,218.95945700321624,High
47110306,26.724308089559777,Low
47110307,155.5329001929124,Medium
47110308,145.68205556111266,Medium
47110309,197.3189154372287,High
47110310,174.3370496506382,High
47110311,28.517772606820923,Low
47110313,203.5874515254755,High
47110314,89.553486876349,Medium
47110315,160.85502525129237,High
47110316,256.54795715164335,Very High
47110317,224.08295448348778,High
47110318,160.93453411073546,High
47110319,228.33049103757733,High
47110323,123.3527948805075,Medium
47110324,214.59040504642104,High
47110325,65.39128069775387,Low
47110326,225.95567261366173,High
47110327,161.10714605353718,High
47110328,137.5729498496384,Medium
47110329,189.99290440681776,High
47110330,157.8726629503377,Medium
47110331,179.33912873744063,High
47110338,107.10543456610013,Medium
47110339,209.35436671921892,High
47110340,240.10151469878923,Very High
47110341,173.51343485437926,High
47110342,213.3241350104105,High
47110343,217.95687715960275,High
47110344,116.21321333177244,Medium
47110347,221.63428572860562,High
47110348,208.1323116961501,High
47110349,223.80386703667833,High
47110350,213.8473650451157,High
47110351,204.9959530838706,High
47110353,231.49083104992607,High
47110354,184.18861688182983,High
47110355,214.83582745854844,High
47110357,196.70908244713954,High
47110358,183.2842540895497,High
47110359,172.81681770984414,High
47110362,231.6864219166959,High
47110363,155.89192760696375,Medium
47110365,71.42370515895679,Low
47110367,215.81947463715687,High
47110368,194.58725251917028,High
47110369,146.5695554033439,Medium
47110370,202.23721112399852,High
47110371,196.90605069373996,High
47110372,198.03726581898485,High
47110373,213.4470785863114,High
47110375,188.77986371023667,High
47110377,196.3444786285694,High
47110378,212.9641294194578,High
47110379,116.6507434943189,Medium
47110380,72.63238051232422,Low
47110381,145.2521305362779,Medium
47110382,177.27625466021672,High
47110383,121.30685750813944,Medium
47110384,203.85256109805812,High
47110385,99.96337466881738,Medium
47110386,206.01435710385604,High
47110388,30.301500115337053,Low
47110389,192.9327742077726,High
47110390,236.13402261769755,High
47110391,237.3668452712121,High
47110392,178.67131211175678,High
47110394,149.81443760292518,Medium
47110395,149.3156279398569,Medium
47110396,63.07279307724572,Low
47110397,0.4134493724716382,Low
47110403,221.35866961647935,High
47110404,242.5914768444993,Very High
47110405,234.53828590228034,High
47110406,208.1497161100269,High
47110407,216.5235004078036,High
47110408,238.34218039357697,High
47110409,239.82412853961003,High
47110410,250.5372780350172,Very High
47110411,220.81883234742705,High
47110412,194.2885364356014,High
47110413,275.64679260068635,Very High
47110434,81.62183382103309,Medium
47110435,193.33234703259657,High
47110436,158.2874143128493,Medium
47110439,174.16514991892146,High
47110440,201.02128747482203,High
47110441,208.3471565766002,High
47110442,80.22486296238212,Medium
47110443,192.4324149010403,High
47110444,195.68564157350238,High
47110445,210.56857794379277,High
47110446,153.0183171804368,Medium
47110447,201.07611107286874,High
47110448,101.69862943294363,Medium
47110449,182.49183252993907,High
47110450,102.77080646855195,Medium
47110451,92.5434152354128,Medium
47110452,136.23709599545612,Medium
47110453,180.77866426776865,High
47110455,165.43206226129135,High
47110456,91.700515988712,Medium
47110457,170.43814177889513,High
47110460,96.57973976081728,Medium
47110461,96.50345088021862,Medium
47110463,32.93054994343642,Low
47110466,219.6896230844233,High
47110467,222.30323798380232,High
47110468,120.92405654225632,Medium
47110469,168.269987773255,High
47110470,188.10593468652053,High
47110471,165.8290912625414,High
47110472,162.43512747870486,High
47110473,180.87948917484636,High
47110474,180.50011622200503,High
47110475,188.42843572734623,High
47110506,92.24085371470589,Medium
47110507,192.0085646041574,High
47110508,208.88712553013724,High
47110509,233.05801286208032,High
47110510,149.63440719626598,Medium
47110511,102.36255972203132,Medium
47110512,57.47011273705772,Low
47110513,146.20015239408997,Medium
47110514,122.60807058909091,Medium
47110515,216.0247780994232,High
47110516,149.70173294998912,Medium
47110517,205.8713319680207,High
47110518,217.67137069499694,High
47110519,229.11475976605882,High
47110520,165.52476882013502,High
47110521,179.00177124753822,High
47110522,242.9270795318708,Very High
47110523,122.65980725848554,Medium
47110524,112.98263369065353,Medium
47110525,0.05954655384137636,Low
47110531,178.23279900945772,High
47110532,204.59746922471513,High
47110533,192.12335105619093,High
47110534,213.73004908429226,High
47110535,178.68586468887233,High
47110536,181.09915378549331,High
47110537,183.3738769407112,High
47110538,133.8296734512486,Medium
47110539,187.2694500020356,High
47110540,13.082054037495919,Low
47110541,177.91471069764228,High
47110542,160.13614485133695,High
47110543,235.51661110020973,High
47110544,188.2827581953968,High
47110545,227.78916271119564,High
47110546,131.9720685793882,Medium
47110547,140.3423978674582,Medium
47110548,9.26804719498093,Low
47110549,93.1798944858946,Medium
47110550,148.1593750290319,Medium
47110551,176.61310851711676,High
47110552,183.7495553798566,High
47110553,178.1254663034099,High
47110554,150.58238557938012,Medium
47110555,218.9713554028455,High
47110556,77.39939980877682,Low
47110557,148.90410759341063,Medium
47110558,130.58578253673798,Medium
47110559,167.46627189178747,High
47110560,195.15267294296697,High
47110561,230.66900724440475,High
47110562,158.64175017087842,Medium
47110563,147.82153406277678,Medium
47110564,161.5167704267,High
47110565,105.52447052730803,Medium
47110566,195.2703000816373,High
47110567,219.94410940122222,High
47110568,190.18000110576529,High
47110569,192.88109474250143,High
47110570,205.43260066889573,High
47110571,178.14161332383443,High
47110572,229.5791894660186,High
47110573,138.68609128330314,Medium
47110574,200.1114629443386,High
47110575,133.96316480958163,Medium
47110576,20.7139759649721,Low
47110577,48.6802976128721,Low
47110579,10.042994636857824,Low
47110651,32.99456128246189,Low
47110652,167.98143913356665,High
47110655,136.05010952232658,Medium
47110656,176.1005325719907,High
47110657,190.7626156615422,High
47110658,92.5902450782517,Medium
47110659,109.24103932800202,Medium
47110660,111.67928002961051,Medium
47110661,123.66219202735897,Medium
47110662,156.07191607591366,Medium
47110663,157.07215580479212,Medium
47110665,100.42333145157006,Medium
47110666,195.00579481649825,High
47110667,118.41611154035832,Medium
47110668,94.07718964327871,Medium
47110669,94.60097024917984,Medium
47110691,2.448874531525547,Low
47110694,1.2329086587675664,Low
47110699,16.234181739647504,Low
47110735,85.35200226848531,Medium
47110736,139.26728664327038,Medium
47110737,210.0013219447289,High
47110738,130.59964634654992,Medium
47110739,183.14020927206732,High
47110741,216.37075837052174,High
47110742,11.787069935052097,Low
47110743,109.92167280728655,Medium
47110744,154.09314360642492,Medium
47110745,190.35496350614187,High
47110747,205.1382335740676,High
47110748,140.54507271418967,Medium
47110749,139.13823940690486,Medium
47110750,123.71475213463934,Medium
47110751,153.0019116598495,Medium
47110752,155.7410944079974,Medium
47110753,21.05781456432057,Low
47110754,125.54290931602414,Medium
47110756,11.090789077758442,Low
47110757,54.44898567269972,Low
